CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Scored Labels,Scored Probabilities,scoring_id,scoring_timestamp
0_to_200,4,outstanding_credit,repairs,-253,less_100,1_to_4,3,male,co-applicant,2,unknown,39,none,free,2,unskilled,1,yes,yes,No Risk,0.6|0.4,1d425263-56b3-4146-84d0-360b9c3cdfcb,04/11/20 7:38
greater_200,36,prior_payments_delayed,car_used,2343,100_to_500,less_1,3,male,none,2,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk,0.7|0.3,0624c2e5-3014-426c-a475-5eaa1b8fbeab,04/11/20 7:38
less_0,35,credits_paid_to_date,repairs,4516,less_100,4_to_7,1,male,co-applicant,1,savings_insurance,26,none,own,2,skilled,1,none,yes,No Risk,0.7|0.3,6dc44a6f-cd4b-4b02-9a19-4d2418c6ec1f,04/11/20 7:38
0_to_200,12,outstanding_credit,furniture,4552,100_to_500,4_to_7,1,male,none,3,car_other,22,stores,own,1,skilled,1,none,yes,No Risk,0.72|0.28,5752d413-bd82-48e0-b14d-3d3efb84c309,04/11/20 7:38
greater_200,32,prior_payments_delayed,car_new,1003,less_100,less_1,3,male,none,3,car_other,24,none,own,1,skilled,1,yes,yes,No Risk,0.81|0.19,1187a12f-e1d6-45bb-8897-f2875076a431,04/11/20 7:38
no_checking,37,prior_payments_delayed,education,2659,500_to_1000,unemployed,4,male,co-applicant,4,real_estate,31,none,own,1,skilled,1,none,yes,Risk,0.41|0.59,cc70f282-2b91-47c7-9c54-8e2d2f3ee39d,04/11/20 7:38
no_checking,28,prior_payments_delayed,furniture,1097,greater_1000,4_to_7,5,male,none,4,savings_insurance,40,none,own,1,unskilled,1,none,yes,No Risk,0.66|0.34,aedd937d-01cd-459d-9074-d4c6b2ae4771,04/11/20 7:38
less_0,25,outstanding_credit,car_used,6996,less_100,greater_7,2,female,co-applicant,1,car_other,53,none,own,1,unemployed,1,none,yes,No Risk,0.67|0.33,912cff38-f4d1-4c0c-9f0e-870f3edd1e3d,04/11/20 7:38
less_0,45,prior_payments_delayed,appliances,11980,100_to_500,less_1,4,male,co-applicant,3,real_estate,33,none,rent,3,skilled,1,yes,yes,No Risk,0.5|0.5,72e1cb1d-8a82-4de3-a638-5b22a48be9ee,04/11/20 7:38
no_checking,20,prior_payments_delayed,radio_tv,12276,500_to_1000,1_to_4,5,male,none,1,car_other,49,none,own,1,skilled,1,yes,yes,No Risk,0.66|0.34,7d7d536e-d198-4548-ba6c-df789be1b5b6,04/11/20 7:38
less_0,13,credits_paid_to_date,furniture,3123,less_100,greater_7,3,male,none,3,savings_insurance,40,none,own,1,management_self-employed,1,none,yes,No Risk,0.75|0.25,ae6864d3-8d99-424d-a6c8-17fa5b6585d5,04/11/20 7:38
no_checking,17,all_credits_paid_back,radio_tv,11259,500_to_1000,1_to_4,3,female,none,2,real_estate,33,bank,own,1,skilled,1,yes,yes,No Risk,0.76|0.24,d6f11e52-418b-4445-8abe-dfd79ac5b8ad,04/11/20 7:38
less_0,10,prior_payments_delayed,appliances,10440,less_100,less_1,2,male,none,1,car_other,45,none,rent,2,skilled,1,none,yes,No Risk,0.66|0.34,b83564ba-a311-4748-981a-efe85cff49a5,04/11/20 7:38
no_checking,8,credits_paid_to_date,radio_tv,1191,less_100,unemployed,3,female,co-applicant,2,car_other,56,none,own,2,unskilled,1,none,yes,No Risk,0.57|0.43,0c1226bb-8b8e-459a-85ac-43ba238ede10,04/11/20 7:38
0_to_200,46,credits_paid_to_date,repairs,7633,less_100,greater_7,2,female,none,3,car_other,25,none,own,2,unskilled,1,none,yes,No Risk,0.66|0.34,fa7b717e-3938-4e0a-bf88-54074dafa366,04/11/20 7:38
no_checking,28,credits_paid_to_date,radio_tv,-48,100_to_500,1_to_4,3,male,none,1,car_other,45,none,own,2,skilled,1,yes,yes,No Risk,0.62|0.38,065165cf-f643-43f0-bce0-382499b96737,04/11/20 7:38
greater_200,11,credits_paid_to_date,furniture,885,500_to_1000,4_to_7,3,female,none,1,real_estate,53,stores,own,2,unskilled,1,none,yes,No Risk,0.84|0.16,fbf42b91-3cbf-4e38-b440-bec1ee1ddf46,04/11/20 7:38
no_checking,34,prior_payments_delayed,car_used,8331,less_100,1_to_4,2,male,none,1,car_other,46,none,own,2,skilled,1,yes,yes,Risk,0.46|0.54,6dd00c06-fbc7-4603-8e55-dabc1f63eabe,04/11/20 7:38
0_to_200,39,credits_paid_to_date,car_new,8932,less_100,unemployed,1,male,none,3,car_other,31,none,own,2,skilled,1,none,yes,No Risk,0.57|0.43,ceddbb21-7b04-47aa-8ff5-a9c317421919,04/11/20 7:38
less_0,4,credits_paid_to_date,education,772,500_to_1000,less_1,3,female,co-applicant,4,unknown,27,none,own,2,skilled,1,none,yes,No Risk,0.73|0.27,cd38d7d3-0ccc-4f0e-a682-f271e47afd94,04/11/20 7:38
less_0,27,all_credits_paid_back,car_used,1552,less_100,1_to_4,3,male,none,3,savings_insurance,19,stores,rent,2,management_self-employed,1,none,yes,No Risk,0.73|0.27,300ef2cc-7c7c-42e8-a2cb-7207b2f2e948,04/11/20 7:38
0_to_200,13,prior_payments_delayed,radio_tv,10063,100_to_500,greater_7,4,male,none,2,real_estate,57,none,own,3,skilled,2,yes,yes,No Risk,0.59|0.41,f45ce651-3183-407d-9a34-24f169cb11fd,04/11/20 7:38
no_checking,31,outstanding_credit,appliances,-572,less_100,4_to_7,2,male,none,4,unknown,26,none,free,2,skilled,1,none,yes,No Risk,0.6|0.4,54e13497-96eb-4979-9d5c-1fccd62eed45,04/11/20 7:38
no_checking,10,outstanding_credit,car_used,8367,100_to_500,less_1,3,female,none,2,unknown,55,none,own,2,skilled,1,none,yes,Risk,0.35|0.65,fc775b82-46cc-406f-8fcf-5a9699d31c67,04/11/20 7:38
0_to_200,19,outstanding_credit,repairs,4150,500_to_1000,greater_7,2,male,none,1,savings_insurance,19,stores,own,1,skilled,2,none,yes,No Risk,0.67|0.33,15fc8a93-585b-4ba3-9fae-4ef0431067a5,04/11/20 7:38
less_0,12,credits_paid_to_date,car_used,5368,less_100,greater_7,4,male,none,1,savings_insurance,48,stores,own,1,unskilled,1,yes,yes,No Risk,0.72|0.28,574c6395-b2bd-46dd-a0f2-35e530e70848,04/11/20 7:38
no_checking,22,prior_payments_delayed,education,11531,less_100,1_to_4,3,male,none,3,unknown,51,none,rent,2,unemployed,1,yes,yes,No Risk,0.5|0.5,ac6c0863-26c6-4314-80a8-977063e27b67,04/11/20 7:38
0_to_200,23,outstanding_credit,car_used,-356,less_100,less_1,2,male,none,2,real_estate,45,none,own,2,management_self-employed,1,yes,yes,No Risk,0.79|0.21,e556a4b9-d921-47be-a5a1-ea5bb05b38f1,04/11/20 7:38
less_0,42,prior_payments_delayed,repairs,5141,500_to_1000,1_to_4,4,female,none,2,real_estate,52,none,own,1,management_self-employed,1,none,yes,No Risk,0.66|0.34,3de8cf3b-6938-4d4f-9096-d4cbc5f3ddf4,04/11/20 7:38
0_to_200,14,credits_paid_to_date,furniture,8511,unknown,less_1,3,female,none,1,savings_insurance,49,none,own,2,skilled,2,yes,yes,No Risk,0.67|0.33,13417067-4671-4904-8ddd-97180011dfcd,04/11/20 7:38
no_checking,14,prior_payments_delayed,car_new,1643,greater_1000,1_to_4,1,female,none,4,unknown,50,stores,own,2,skilled,1,none,yes,No Risk,0.57|0.43,3d97af3c-a70a-4186-ba35-faaeb84a1e8b,04/11/20 7:38
greater_200,8,credits_paid_to_date,car_new,2605,less_100,less_1,3,female,none,4,savings_insurance,38,none,rent,2,skilled,1,none,yes,No Risk,0.77|0.23,cca509ac-464c-4258-8754-842fbc755bcd,04/11/20 7:38
no_checking,37,prior_payments_delayed,furniture,674,100_to_500,4_to_7,3,male,none,4,car_other,20,stores,rent,2,skilled,1,none,yes,No Risk,0.66|0.34,7cd20f6d-4baf-43d8-abee-6b6831270136,04/11/20 7:38
0_to_200,15,credits_paid_to_date,retraining,-212,less_100,greater_7,4,female,none,4,car_other,37,bank,own,1,skilled,1,none,yes,No Risk,0.73|0.27,325355c9-b72a-48d3-afb5-3b2040c00c70,04/11/20 7:38
no_checking,12,prior_payments_delayed,radio_tv,1832,500_to_1000,less_1,4,female,none,3,car_other,26,none,rent,1,management_self-employed,1,none,yes,No Risk,0.71|0.29,7620fd55-3d91-41e0-9522-ced47d63d9f5,04/11/20 7:38
no_checking,10,all_credits_paid_back,furniture,12016,less_100,1_to_4,4,female,none,2,car_other,42,none,own,1,skilled,2,none,yes,No Risk,0.72|0.28,5c3b54bd-b459-4dd3-b421-59ea84603838,04/11/20 7:38
no_checking,4,prior_payments_delayed,car_new,4043,greater_1000,1_to_4,2,male,co-applicant,3,savings_insurance,29,none,own,2,unskilled,1,yes,yes,No Risk,0.63|0.37,bd04f47b-4046-42f7-a756-910fce13f67e,04/11/20 7:38
no_checking,52,all_credits_paid_back,car_new,12549,unknown,4_to_7,3,male,none,2,car_other,39,none,own,1,management_self-employed,1,yes,yes,No Risk,0.53|0.47,a69cc8fb-1fdf-49ce-a651-52e777101092,04/11/20 7:38
no_checking,9,all_credits_paid_back,car_new,4680,less_100,4_to_7,5,male,guarantor,1,savings_insurance,31,none,own,2,skilled,1,yes,yes,No Risk,0.7|0.3,9286c5a7-6577-44b8-a3c5-ca642553bd84,04/11/20 7:38
0_to_200,29,outstanding_credit,car_new,7827,greater_1000,1_to_4,3,female,none,4,savings_insurance,60,bank,rent,2,skilled,1,none,yes,No Risk,0.56|0.44,6bbc364b-7f9c-4b7b-b076-5438a5ca4fe3,04/11/20 7:38
no_checking,15,outstanding_credit,furniture,7255,500_to_1000,greater_7,4,male,none,4,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk,0.6|0.4,725b4f68-1bd0-45e3-94ac-676adb585bed,04/11/20 7:38
no_checking,35,outstanding_credit,radio_tv,1845,500_to_1000,1_to_4,2,male,none,4,real_estate,36,stores,rent,1,skilled,1,yes,yes,No Risk,0.53|0.47,e5f6a004-c880-4e40-afa7-b1927923a37a,04/11/20 7:38
0_to_200,11,all_credits_paid_back,car_used,1576,500_to_1000,less_1,3,male,co-applicant,1,car_other,37,none,own,1,skilled,2,none,yes,No Risk,0.86|0.14,1cdd8b31-c99a-4963-bedc-1d2d1917535c,04/11/20 7:38
0_to_200,23,all_credits_paid_back,car_new,9217,less_100,less_1,2,female,none,2,savings_insurance,28,stores,own,1,skilled,2,none,yes,No Risk,0.7|0.3,2616b190-bed6-421d-ac82-fcc95231cc58,04/11/20 7:38
greater_200,40,prior_payments_delayed,radio_tv,4391,500_to_1000,less_1,3,female,none,5,savings_insurance,19,none,rent,1,management_self-employed,1,none,yes,No Risk,0.7|0.3,2a45008c-f2af-40b0-849d-f9cf66ac1bf9,04/11/20 7:38
no_checking,19,credits_paid_to_date,furniture,11642,greater_1000,1_to_4,4,female,none,5,real_estate,34,stores,own_random,1,management_self-employed,2,none,yes,No Risk,0.62|0.38,6880bffa-d11b-42bd-8a8c-c60c3e5fa52a,04/11/20 7:38
less_0,19,prior_payments_delayed_random,radio_tv,6864,less_100,greater_7,2,male,none,4,car_other,32,stores,own,2,skilled,1,none,yes,No Risk,0.73|0.27,4828d741-585d-4d0f-9479-f6e5a3b4dcb9,04/11/20 7:38
0_to_200,21,prior_payments_delayed,furniture,10839,500_to_1000,4_to_7,2,female,none,4,savings_insurance,40,stores,own,2,skilled,1,none,yes,No Risk,0.56|0.44,76f966ce-8ac1-4678-adad-ac6bbb180d8e,04/11/20 7:38
0_to_200,22,credits_paid_to_date,appliances,10526,greater_1000,4_to_7,2,female,co-applicant,3,savings_insurance,41,stores,own,3,skilled,1,yes,yes,No Risk,0.55|0.45,3efd909c-9520-4aca-95bb-15fc4bb2bb5f,04/11/20 7:38
no_checking,36,prior_payments_delayed,radio_tv,5478,500_to_1000,1_to_4,3,male,none,3,savings_insurance,46,stores,own,1,skilled,1,none,yes,No Risk,0.61|0.39,4ccebd8a-4a91-4ae7-892a-978f79ebb7c8,04/11/20 7:38
greater_200,28,prior_payments_delayed,furniture,99,500_to_1000,less_1,5,male,none,4,unknown,35,none,own,2,unemployed,1,none,yes,No Risk,0.68|0.32,8ad827e7-5ed8-44d4-a5aa-d79cc77e8423,04/11/20 7:38
0_to_200,15,credits_paid_to_date,repairs,10616,less_100,greater_7,4,male,none,3,car_other,40,none,own,2,skilled,1,yes,yes,No Risk,0.65|0.35,f6675c3e-4a07-4741-b3c7-6c7a080708c7,04/11/20 7:38
less_0,15,all_credits_paid_back,appliances,6534,less_100,1_to_4,3,female,none,2,real_estate,36,stores,rent,2,management_self-employed,1,none,yes,No Risk,0.84|0.16,028dff74-7610-4bdc-88ed-acc82c76431e,04/11/20 7:38
no_checking,51,all_credits_paid_back,radio_tv,4622,unknown,4_to_7,4,male,none,1,real_estate,34,stores,own,1,skilled,1,yes,yes,No Risk,0.71|0.29,64aab7c6-9977-4ffb-90fb-67a3291c7ac4,04/11/20 7:38
no_checking,20,prior_payments_delayed_random,car_used,8100,greater_1000,4_to_7,3,male,none,5,car_other,36,none,own,1,skilled,1,yes,yes,Risk,0.44|0.56,36f1292a-e446-4267-b8fb-989a62a164a3,04/11/20 7:38
less_0,18,all_credits_paid_back,radio_tv,582,less_100,greater_7,3,female,none,3,savings_insurance,42,stores,own,1,skilled,1,none,yes,No Risk,0.76|0.24,f026df87-7074-402d-b6c8-093a74a417eb,04/11/20 7:38
less_0,31,credits_paid_to_date,vacation,8322,500_to_1000,4_to_7,3,male,co-applicant,4,car_other,28,bank,rent,2,skilled,1,none,yes,No Risk,0.68|0.32,c575d526-4278-4b48-8b81-587aae90e30d,04/11/20 7:38
greater_200,9,credits_paid_to_date,radio_tv,11247,less_100,1_to_4,4,male,none,1,unknown,32,stores,own,1,skilled,1,none,yes,No Risk,0.79|0.21,87e32a61-dd57-476b-8cc2-1a41d2a6022c,04/11/20 7:38
no_checking,19,all_credits_paid_back,business,8293,greater_1000,greater_7,3,male,none,1,car_other,44,none,own,1,skilled,1,none,yes,No Risk,0.52|0.48,a0093757-7494-4f4f-bb52-0b625ea4fff2,04/11/20 7:38
no_checking,19,outstanding_credit,vacation,8386,500_to_1000,1_to_4,3,male,none,5,savings_insurance,42,stores,own,2,skilled,1,none,yes,No Risk,0.56|0.44,fc1c3855-a0f3-4832-b354-d6fdf3a6ee22,04/11/20 7:38
less_0,11,prior_payments_delayed,radio_tv,8795,less_100,1_to_4,2,female,none,5,savings_insurance,24,none,own,1,skilled,1,none,yes,No Risk,0.75|0.25,c62757a0-055c-4533-a782-43c8ba5cc339,04/11/20 7:38
0_to_200,33,credits_paid_to_date,car_new,7082,100_to_500,greater_7,3,female,none,3,savings_insurance,39,none,own,2,skilled,1,none,yes,Risk,0.49|0.51,0fc1d960-b457-48af-a1ed-2b3c9c3b7ccf,04/11/20 7:38
0_to_200,10,credits_paid_to_date,car_new,11098,less_100,greater_7,4,female,none,3,savings_insurance,41,bank,own,1,skilled,1,yes,yes,No Risk,0.62|0.38,579de39d-e142-4a43-8ab9-5650898e0e11,04/11/20 7:38
0_to_200,9,credits_paid_to_date,furniture,12756,greater_1000,4_to_7,2,female,none,2,car_other,40,none,rent,1,skilled,1,none,yes,No Risk,0.61|0.39,c134478e-9901-45f6-b950-b42c5d403ced,04/11/20 7:38
less_0,4,outstanding_credit,car_new_random,345,500_to_1000,1_to_4,1,female,guarantor,2,car_other,19,none,rent,2,unskilled,1,yes,yes,No Risk,0.75|0.25,d1e2a535-bc7c-439b-91ac-2f258080b83c,04/11/20 7:38
0_to_200,27,prior_payments_delayed,car_used,10387,less_100,greater_7,1,female,none,3,real_estate,39,none,own,2,unskilled,1,yes,yes,No Risk,0.57|0.43,efb6ac99-1a38-43c0-b882-175595218fc5,04/11/20 7:38
no_checking,15,outstanding_credit,appliances,2191,less_100,1_to_4,4,male,none,2,car_other,56,none,rent,2,unemployed,1,none,yes,No Risk,0.68|0.32,e9f8d242-db29-4ce1-9d3d-ceec283370e5,04/11/20 7:38
greater_200,30,all_credits_paid_back,car_used,4518,100_to_500,unemployed,3,male,co-applicant,1,real_estate,25,none,own,1,skilled,1,none,yes,No Risk,0.67|0.33,1f30419e-ba4a-4efa-8f59-eeb5f8ccb7de,04/11/20 7:38
less_0,4,outstanding_credit,furniture,128,100_to_500,4_to_7,1,male,guarantor,2,savings_insurance,40,none,own,2,unskilled,1,yes,yes,No Risk,0.59|0.41,29f90f2d-2e10-4704-9b4a-a7a81068389c,04/11/20 7:38
no_checking,36,credits_paid_to_date,appliances,12570,less_100,greater_7,2,female,none,2,savings_insurance,29,none,own,1,skilled,2,yes,yes,Risk,0.48|0.52,5a5f1a20-55bc-4ce5-8c79-df0336277d2f,04/11/20 7:38
no_checking,30,prior_payments_delayed,furniture,3139,less_100,1_to_4,4,male,co-applicant,3,car_other,45,none,own,1,skilled,2,yes,yes,Risk,0.47|0.53,fb3d605e-88e0-432a-8181-a323a74f30b0,04/11/20 7:38
greater_200,9,prior_payments_delayed,car_used,6283,100_to_500,greater_7,5,male,none,1,savings_insurance,31,none,free,2,skilled,1,yes,yes,No Risk,0.69|0.31,26a6736e-115d-468c-bf59-3436f70eb10b,04/11/20 7:38
less_0,17,prior_payments_delayed,car_new,4323,less_100,4_to_7,1,male,none,1,real_estate,39,stores,own,2,skilled,2,yes,yes,No Risk,0.83|0.17,5d70e6dd-1c88-4e9e-9600-c237d5815398,04/11/20 7:38
no_checking,45,outstanding_credit,car_new,2016,unknown,4_to_7,4,female,co-applicant,1,car_other,19,stores,rent,1,skilled,1,none,yes,Risk,0.47|0.53,8cce5bd5-231b-49d3-9f5b-0203de3ac8f2,04/11/20 7:38
no_checking,6,prior_payments_delayed,car_new,1402,less_100,1_to_4,3,male,none,4,car_other,58,bank,own,1,skilled,1,none,yes,No Risk,0.73|0.27,36b39111-5431-454b-bb73-2d9550b5602a,04/11/20 7:38
no_checking_random,29,outstanding_credit,furniture,8974,less_100,less_1,3,male,co-applicant,1,real_estate,45,none,rent,2,skilled,1,none,yes,No Risk,0.58|0.42,29533b75-d640-4d7e-9f83-549898a3db6a,04/11/20 7:38
less_0,13,credits_paid_to_date,car_new,-270,less_100,less_1,3,male,co-applicant,3,real_estate,20,stores,own,3,unemployed,1,none,yes,No Risk,0.86|0.14,380d8878-a0b4-4221-ab45-032aedccad48,04/11/20 7:38
no_checking,15,all_credits_paid_back,vacation,7179,100_to_500,1_to_4,2,female,none,3,car_other,48,none,own,1,skilled,1,none,yes,No Risk,0.63|0.37,461edb57-74ce-4af8-8fd1-31810575afb9,04/11/20 7:38
greater_200,29,outstanding_credit,radio_tv,4036,less_100,4_to_7,1,male,none,2,real_estate,38,none,own,1,skilled,1,none,yes,No Risk,0.8|0.2,5b778458-d421-4202-a107-126799de8f87,04/11/20 7:38
less_0,19,prior_payments_delayed,vacation,-770,less_100,1_to_4,3,female,none,2,savings_insurance,28,bank,own,2,skilled,2,yes,yes,No Risk,0.85|0.15,ec67f86d-99ef-41fd-8a10-4dec8c89ecca,04/11/20 7:38
0_to_200,4,outstanding_credit,appliances,7996,100_to_500,4_to_7,3,female,none,3,car_other,33,none,rent,2,skilled,1,none,yes,No Risk,0.52|0.48,00ba8240-3d52-4885-a300-b6754aa8f561,04/11/20 7:38
less_0,23,prior_payments_delayed,car_new,11456,less_100,1_to_4,4,female,none,4,unknown,53,none,free,1,skilled,1,none,yes,No Risk,0.53|0.47,5666518d-4803-440c-8522-d047190759bf,04/11/20 7:38
no_checking,15,outstanding_credit,repairs,3163,unknown,greater_7,3,male,none,1,car_other,22,none,own,3,skilled,1,none,no,No Risk,0.59|0.41,ba70dd31-3417-4001-aa83-ff72f566818d,04/11/20 7:38
0_to_200,4,prior_payments_delayed,repairs,11836,100_to_500,1_to_4,2,male,none,3,savings_insurance,53,bank,own,2,skilled,1,yes,yes,No Risk,0.54|0.46,e4c8ecbf-fb11-493f-9399-c9a63509c200,04/11/20 7:38
0_to_200,21,outstanding_credit,appliances,-776,greater_1000,greater_7,3,female,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk,0.71|0.29,536543de-defc-4a9a-aef8-f14c1df3d8ef,04/11/20 7:38
0_to_200,7,credits_paid_to_date,business,5216,less_100,1_to_4,2,male,none,2,unknown,45,none,own,1,skilled,1,none,yes,No Risk,0.82|0.18,914a831f-685d-4d40-ae1a-0ef218d88250,04/11/20 7:38
no_checking,9,no_credits,furniture,953,greater_1000,less_1,1,male,none,3,car_other,38,stores,free,2,skilled,1,yes,yes,No Risk,0.81|0.19,bd6243f3-c523-4b3b-966a-83d800b237f5,04/11/20 7:38
less_0,24,credits_paid_to_date,furniture,4197,500_to_1000,less_1,3,male,none,4,real_estate,19,none,own,1,skilled,1,yes,yes,No Risk,0.8|0.2,0728b727-42e9-40cd-a472-61fd2d89924b,04/11/20 7:38
less_0,16,credits_paid_to_date,radio_tv,12598,100_to_500,less_1,4,female,none,4,car_other,29,stores,own,2,skilled,1,none,yes,No Risk,0.7|0.3,2cb5e55d-03a4-4e87-8528-64c7b6f512d8,04/11/20 7:38
less_0,27,prior_payments_delayed,furniture,3298,less_100,4_to_7,2,male,none,3,car_other,31,none,own,1,skilled,2,none,no,No Risk,0.63|0.37,a1525422-93ba-4f61-add9-c96d2006b1a8,04/11/20 7:38
greater_200,14,outstanding_credit,repairs,11438,less_100,greater_7,2,male,guarantor,4,unknown,43,none,own,1,skilled,1,yes,yes,Risk,0.47|0.53,0ece895e-4bbd-4929-bccb-562b7996c39c,04/11/20 7:38
no_checking,25,all_credits_paid_back,car_used,3561,less_100,4_to_7,2,male,none,2,car_other,37,none,free,1,unemployed,1,none,yes,No Risk,0.72|0.28,70459e59-73fb-4fe9-b0ed-6ecf1e0bde45,04/11/20 7:38
no_checking,24,prior_payments_delayed,furniture,4809,greater_1000,4_to_7,4,female,none,3,car_other,31,none,rent,2,unskilled,1,yes,yes,Risk,0.43|0.57,40ed4feb-39e4-4610-97b4-9793d3565ae9,04/11/20 7:38
no_checking,10,no_credits,appliances,5618,100_to_500,unemployed,4,male,co-applicant,3,unknown,21,none,own,1,skilled,1,yes,yes,No Risk,0.55|0.45,12801c7f-ba10-49a4-8c58-097093bf5cb4,04/11/20 7:38
no_checking,9,all_credits_paid_back,repairs,8909,500_to_1000,less_1,3,female,none,4,car_other,46,none,free,1,unskilled,1,none,yes,No Risk,0.52|0.48,91efff8d-6991-49c2-969c-2f91dedeabc4,04/11/20 7:38
no_checking,17,all_credits_paid_back,appliances,11973,500_to_1000,less_1,2,male_random,none,3,savings_insurance,19,stores,own,2,skilled,2,yes,yes,No Risk,0.67|0.33,f1eec58d-a6af-4495-abe2-6a5c20972edf,04/11/20 7:38
no_checking,10,no_credits,furniture,5173,100_to_500,4_to_7,5,female,none,3,savings_insurance,27,stores,own,1,skilled,1,yes,yes,No Risk,0.76|0.24,87addb42-3ab9-4e5c-8392-accc8e5557c0,04/11/20 7:38
no_checking_random,37,prior_payments_delayed,radio_tv,6309,less_100,1_to_4,1,male,none,3,unknown,24,none,own,1,skilled,1,none,yes,No Risk,0.6|0.4,c56f93cd-31aa-4a7d-82d3-5a48012dc646,04/11/20 7:38
no_checking,4,all_credits_paid_back,radio_tv,6662,less_100,4_to_7,3,male,co-applicant,5,unknown,32,none,own,1,skilled,2,none,yes,No Risk,0.54|0.46,af2a0c9d-2ed0-41d6-9e3c-d289da900fca,04/11/20 7:38
no_checking,17,prior_payments_delayed,vacation,12788,less_100,4_to_7,3,male,none,4,car_other,47,none,rent,2,unskilled,1,none,yes,No Risk,0.62|0.38,994da0c2-4f72-4111-8cb6-e7d642ef7f11,04/11/20 7:38
less_0,30,credits_paid_to_date,appliances,5138,500_to_1000,less_1,2,male,none,4,savings_insurance,38,none,rent,2,skilled,1,yes,yes,Risk,0.42|0.58,75395afc-d377-46c9-8a5b-9e6684cf1a98,04/11/20 7:38
no_checking,20,credits_paid_to_date,vacation,982,100_to_500,1_to_4,4,female,none,3,real_estate,34,none,own,1,unemployed,2,none,yes,No Risk,0.85|0.15,821b7895-9579-40f2-93bc-561683b050ba,04/11/20 7:38
less_0,9,prior_payments_delayed,radio_tv,11612,less_100,4_to_7,3,male,none,1,car_other,39,bank,own,2,skilled,1,none,yes,No Risk,0.87|0.13,0959d3f3-f084-4634-a846-fef3d5f46a50,04/11/20 7:38
0_to_200,19,credits_paid_to_date,radio_tv,5818,100_to_500,4_to_7,3,female,none,2,real_estate,43,none,free,2,management_self-employed,1,none,yes,No Risk,0.75|0.25,085c4073-973d-4e4f-8b3c-052d13563f3b,04/11/20 7:38
no_checking,26,prior_payments_delayed,car_new,11198,less_100,1_to_4,4,male,none,3,car_other,30,none,own,1,skilled,1,none,yes,No Risk,0.67|0.33,a6da5cec-2443-49cc-95b0-69e52d169f40,04/11/20 7:38
greater_200,16,prior_payments_delayed,car_new,1682,less_100,greater_7,2,male,none,3,car_other,30,bank,own,1,management_self-employed,2,yes,yes,No Risk,0.67|0.33,c492c485-5b7b-40da-b6de-e413335f5b3f,04/11/20 7:38
greater_200,24,outstanding_credit,car_new,9391,100_to_500,less_1,5,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,0.72|0.28,ade43915-c805-4d0c-aa7c-cc0f8e4b9e10,04/11/20 7:38
greater_200,15,prior_payments_delayed,repairs,5310,less_100,1_to_4,5,male,none,2,savings_insurance,26,none,rent,1,skilled_random,2,yes,yes,No Risk,0.76|0.24,038aadf8-e3b4-4b8a-8459-ed5e38a7d344,04/11/20 7:38
no_checking,6,prior_payments_delayed_random,car_used,1851,100_to_500,4_to_7,1,male,none,3,real_estate,30,stores,free,2,unskilled,1,yes,yes,No Risk,0.76|0.24,8158392b-5e96-476a-a006-197cefb2d1cd,04/11/20 7:38
0_to_200,9,prior_payments_delayed,education,1141,100_to_500,greater_7,3,female,none,3,real_estate,27,none,own,3,management_self-employed,1,yes,yes,No Risk,0.66|0.34,11c9a8af-219d-484b-b09b-7756341ee93f,04/11/20 7:38
no_checking,18,all_credits_paid_back,furniture,2964,unknown,4_to_7,4,female,none,1,savings_insurance,39,bank,rent,1,skilled,1,none,yes,No Risk,0.77|0.23,fa45e88b-7d8f-4400-a8c6-48e07507c559,04/11/20 7:38
less_0,23,prior_payments_delayed,appliances,11037,100_to_500,less_1,3,male,none,3,unknown,51,bank,own,2,skilled,1,yes,yes,No Risk,0.63|0.37,dfd170a1-2497-4c0a-bd1c-586ce33dcdd9,04/11/20 7:38
0_to_200,17,no_credits,car_new,6580,less_100,less_1,3,female,none,3,car_other,54,stores,own,2,unskilled,1,none,yes,No Risk,0.69|0.31,f0968528-3cae-4f68-9c6b-cf05b26cf009,04/11/20 7:38
less_0,26,prior_payments_delayed,furniture,6822,500_to_1000,1_to_4,2,male,none,2,car_other,30,none,free,1,unskilled,1,none,yes,No Risk,0.64|0.36,c3107ce8-ae33-4f25-914c-2940b0d4ffe7,04/11/20 7:38
no_checking,22,outstanding_credit,car_used,6425,less_100,1_to_4,2,male,none,3,savings_insurance,43,stores,own,1,skilled,1,none,yes,No Risk,0.72|0.28,ae36bd5e-c258-4b8d-95c0-8a131a5d4c9a,04/11/20 7:38
less_0,21,credits_paid_to_date,car_used,11535,500_to_1000,greater_7,4,male,none,2,savings_insurance,53,none,own,1,skilled,2,none,yes,No Risk,0.63|0.37,b8f53b3d-13f5-4ed0-abf9-0d9bb4559775,04/11/20 7:38
